É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/12 11:53:37

,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR
2014/2/23,0.0,8,1,4.7,8,1,-4.0,8,1,0,1,8,1,0,1,8,1,9.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.2,8,1,4.4,8,ñkìå,8,1,5.7,8,ñkñkìå,8,1,ñk,8,1,4.7,8,1,77,8,1,59,8,1,893.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/24,2.7,8,1,8.4,8,1,-2.1,8,1,0,1,8,1,0,1,8,1,10.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.3,8,1,5.4,8,êº,8,1,7.9,8,êº,8,1,ñkñkìå,8,1,3.8,8,1,52,8,1,29,8,1,893.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/25,4.5,8,1,10.0,8,1,0.0,8,1,0,1,8,1,0,1,8,1,8.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,1.7,8,1,4.3,8,ìÏìå,8,1,6.0,8,ìÏìå,8,1,ñkñkìå,8,1,3.7,8,1,45,8,1,19,8,1,894.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/26,5.1,8,1,6.4,8,1,3.2,8,1,16.0,0,8,1,2.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.8,8,1,13.3,8,ìÏìå,8,1,21.7,8,ìÏìå,8,1,ìÏìå,8,1,8.2,8,1,94,8,1,70,8,1,891.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/27,6.7,8,1,8.8,8,1,1.7,8,1,12.0,0,8,1,6.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.7,8,1,10.2,8,ìÏìå,8,1,16.9,8,ìÏìå,8,1,êº,8,1,9.7,8,1,99,8,1,79,8,1,887.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/28,7.0,8,1,13.4,8,1,2.5,8,1,0,1,8,1,0.0,0,8,1,6.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.3,8,1,4.7,8,ñkñkìå,8,1,7.2,8,êº,8,1,ñk,8,1,6.1,8,1,61,8,1,21,8,1,888.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/1,5.3,8,1,6.9,8,1,4.2,8,1,13.0,0,8,1,4.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.2,8,1,4.2,8,êºìÏêº,8,1,6.5,8,ìÏêº,8,1,ìÏìÏêº,8,1,8.0,8,1,90,8,1,62,8,1,885.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/2,2.3,8,1,6.4,8,1,-2.3,8,1,3.0,0,8,1,5.0,0,8,1,2.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.9,8,1,9.3,8,ñkìå,8,1,13.5,8,ñkñkìå,8,1,ñkñkìå,8,1,7.0,8,1,96,8,1,81,8,1,883.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/3,-0.6,8,1,4.1,8,1,-4.1,8,1,0,1,8,1,0.0,0,8,1,9.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.3,8,1,11.3,8,ñk,8,1,16.5,8,ñkñkìå,8,1,ñkñkìå,8,1,3.8,8,1,65,8,1,32,8,1,888.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/4,3.2,8,1,6.4,8,1,-3.8,8,1,0.5,0,8,1,0.5,0,8,1,2.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.6,8,1,8.6,8,ìÏìÏìå,8,1,13.9,8,ìÏìÏìå,8,1,ìÏìå,8,1,6.5,8,1,84,8,1,37,8,1,888.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/5,1.8,8,1,6.0,8,1,-3.5,8,1,7.0,0,8,1,2.0,0,8,1,2.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.0,8,1,9.3,8,ñkñkìå,8,1,13.3,8,ñk,8,1,ñk,8,1,6.7,8,1,94,8,1,76,8,1,883.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/6,-3.6,8,1,0.8,8,1,-6.0,8,1,0.0,0,8,1,0.0,0,8,1,1.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.5,8,1,8.9,8,ñkñkìå,8,1,13.3,8,ñkñkìå,8,1,ñk,8,1,4.2,8,1,91,8,1,65,8,1,887.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/7,-3.6,8,1,1.6,8,1,-6.4,8,1,0.0,0,8,1,0.0,0,8,1,9.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.6,8,1,7.8,8,êºñkêº,8,1,12.2,8,êº,8,1,êºñkêº,8,1,3.0,8,1,65,8,1,45,8,1,890.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/8,-2.1,8,1,4.4,8,1,-6.4,8,1,0.0,0,8,1,0.0,0,8,1,5.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,7.9,8,ñkñkìå,8,1,11.0,8,ñkñkìå,8,1,ñkñkìå,8,1,3.2,8,1,62,8,1,34,8,1,888.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/9,-1.8,8,1,2.4,8,1,-4.6,8,1,0.0,0,8,1,0.0,0,8,1,4.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.2,8,1,7.9,8,êºñkêº,8,1,13.4,8,êºñkêº,8,1,êºñkêº,8,1,4.0,8,1,75,8,1,27,8,1,884.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/10,-2.9,8,1,2.7,8,1,-6.8,8,1,0.0,0,8,1,0.0,0,8,1,7.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.0,8,1,8.1,8,ñkñkêº,8,1,12.9,8,ñkñkêº,8,1,êºñkêº,8,1,3.7,8,1,76,8,1,53,8,1,888.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/11,1.2,8,1,6.8,8,1,-6.1,8,1,0,1,8,1,0,1,8,1,10.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.3,8,1,7.2,8,êºìÏêº,8,1,10.0,8,êºìÏêº,8,1,êºìÏêº,8,1,2.3,8,1,36,8,1,12,8,1,893.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/12,5.7,8,1,11.5,8,1,-0.4,8,1,1.0,0,8,1,1.0,0,8,1,7.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.3,5,1,11.7,5,ìÏêº),5,1,19.0,5,ìÏêº),5,1,ìÏêº,8,1,6.9,8,1,74,8,1,47,8,1,889.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/13,5.2,8,1,10.1,8,1,-1.6,8,1,39.5,0,8,1,11.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.2,8,1,9.7,8,ñk,8,1,14.3,8,ñkñkêº,8,1,ìÏìÏìå,8,1,9.1,8,1,99,8,1,94,8,1,876.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/14,-3.0,8,1,-1.4,8,1,-5.4,8,1,4.5,0,8,1,2.0,0,8,1,0.2,0,8,1,,0,1,3,0,8,1,3,0,8,1,5.1,8,1,7.6,8,ñk,8,1,12.5,8,ñkñkêº,8,1,ñk,8,1,4.8,8,1,98,8,1,94,8,1,882.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/15,-0.2,8,1,4.8,8,1,-5.8,8,1,0,1,8,1,0,1,8,1,10.4,0,8,1,,0,1,1,0,8,1,1,0,8,1,5.2,8,1,8.0,8,ñkñkêº,8,1,12.7,8,ñkñkêº,8,1,ñkêº,8,1,4.5,8,1,76,8,1,50,8,1,889.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/16,4.5,8,1,9.2,8,1,1.5,8,1,0,1,8,1,0,1,8,1,9.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.8,8,1,10.2,8,êºìÏêº,8,1,14.3,8,êº,8,1,êºìÏêº,8,1,6.9,8,1,82,8,1,61,8,1,892.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/17,7.7,8,1,14.6,8,1,1.0,8,1,0,1,8,1,0,1,8,1,9.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.0,8,1,8.9,8,ìÏêº,8,1,14.6,8,ìÏêº,8,1,ìÏêº,8,1,5.9,8,1,57,8,1,11,8,1,892.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/18,9.2,8,1,11.1,8,1,6.7,8,1,3.5,0,8,1,2.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.0,8,1,11.6,8,ìÏìÏêº,8,1,25.1,8,ìÏìÏêº,8,1,ìÏìÏêº,8,1,11.6,8,1,99,8,1,86,8,1,887.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/19,10.0,8,1,14.8,8,1,7.6,8,1,1.5,0,8,1,0.5,0,8,1,3.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.3,8,1,7.7,8,ìÏêº,8,1,16.1,8,ìÏìÏêº,8,1,ìÏêº,8,1,11.1,8,1,91,8,1,58,8,1,885.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/20,4.4,8,1,10.4,8,1,-1.6,8,1,10.0,0,8,1,2.5,0,8,1,0.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.8,8,1,11.5,8,êºñkêº,8,1,17.1,8,êºñkêº,8,1,êºñkêº,8,1,8.6,8,1,100,8,1,100,8,1,878.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/21,-2.0,8,1,1.5,8,1,-4.3,8,1,0.5,0,8,1,0.5,0,8,1,2.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.3,8,1,9.9,8,ñkñkêº,8,1,16.0,8,ñk,8,1,ñk,8,1,4.9,8,1,94,8,1,60,8,1,883.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/22,0.1,8,1,5.8,8,1,-4.0,8,1,0,1,8,1,0,1,8,1,8.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.6,8,1,6.6,8,ñk,8,1,10.0,8,ñkñkìå,8,1,ñk,8,1,4.7,8,1,76,8,1,56,8,1,890.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/23,5.3,8,1,12.1,8,1,-0.9,8,1,0,1,8,1,0,1,8,1,11.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.3,8,1,5.7,8,ñk,8,1,8.7,8,êºñkêº,8,1,ñkñkìå,8,1,4.8,8,1,54,8,1,32,8,1,895.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/24,7.5,8,1,13.3,8,1,3.3,8,1,0,1,8,1,0,1,8,1,9.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.9,8,1,8.4,8,ìÏêº,8,1,15.1,8,ìÏêº,8,1,ìÏêº,8,1,4.2,8,1,41,8,1,16,8,1,893.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/25,8.3,8,1,11.7,8,1,5.8,8,1,1.5,0,8,1,1.0,0,8,1,0.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.6,8,1,9.6,8,ìÏêº,8,1,16.7,8,ìÏêº,8,1,ìÏêº,8,1,9.8,8,1,90,8,1,70,8,1,889.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/26,10.7,8,1,12.3,8,1,8.4,8,1,44.0,0,8,1,16.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,8.2,8,1,14.5,8,ìÏìÏêº,8,1,28.6,8,ìÏìÏêº,8,1,êºìÏêº,8,1,12.7,8,1,98,8,1,89,8,1,884.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/27,9.8,8,1,14.9,8,1,6.4,8,1,2.0,0,8,1,1.0,0,8,1,10.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.5,8,1,8.4,8,ñk,8,1,13.5,8,êº,8,1,ñkñkìå,8,1,8.8,8,1,74,8,1,37,8,1,886.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/28,10.8,8,1,17.6,8,1,5.4,8,1,0.0,0,8,1,0.0,0,8,1,10.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.6,4,1,7.4,4,ìåìÏìå],1,1,10.1,4,ìåìÏìå],1,1,ìÏìå,4,1,6.8,8,1,54,8,1,21,8,1,890.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/29,9.4,8,1,13.3,8,1,7.2,8,1,34.0,0,8,1,7.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,8.0,8,1,13.1,8,ìÏêº,8,1,23.6,8,ìÏìÏêº,8,1,ìÏìå,8,1,11.0,8,1,92,8,1,54,8,1,883.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/30,8.5,8,1,13.0,8,1,3.7,8,1,33.5,0,8,1,11.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.2,8,1,10.5,8,ñkñkêº,8,1,18.5,8,êº,8,1,êºñkêº,8,1,11.2,8,1,100,8,1,95,8,1,878.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/3/31,6.8,8,1,12.0,8,1,2.5,8,1,0,1,8,1,0,1,8,1,7.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.0,8,1,12.9,8,ñkñkìå,8,1,18.3,8,ñkñkìå,8,1,ñkìå,8,1,5.4,8,1,57,8,1,38,8,1,885.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/1,8.6,8,1,14.5,8,1,3.9,8,1,0,1,8,1,0,1,8,1,8.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.2,8,1,7.7,8,ìåìÏìå,8,1,9.8,8,ìåìÏìå,8,1,ìåìÏìå,8,1,5.3,8,1,48,8,1,16,8,1,885.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/2,9.3,8,1,15.2,8,1,5.7,8,1,0,1,8,1,0,1,8,1,9.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.5,8,1,7.3,8,ìÏìÏêº,8,1,12.7,8,ìÏ,8,1,ìÏìå,8,1,8.8,8,1,76,8,1,47,8,1,887.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/3,7.9,8,1,12.0,8,1,5.4,8,1,16.0,0,8,1,3.0,0,8,1,0.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.5,8,1,6.5,8,êºìÏêº,8,1,11.1,8,êº,8,1,êºìÏêº,8,1,9.6,8,1,91,8,1,62,8,1,883.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/4,1.4,8,1,5.9,8,1,-1.9,8,1,0.0,0,8,1,1.0,0,8,1,3.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.1,8,1,11.3,8,ñkêº,8,1,19.2,8,êºñkêº,8,1,ñkêº,8,1,6.3,8,1,92,8,1,69,8,1,878.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/5,1.4,8,1,4.5,8,1,-1.1,8,1,19.0,0,8,1,10.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.5,8,1,13.2,8,ìÏêº,8,1,25.6,8,ìÏêº,8,1,ìÏêº,8,1,6.6,8,1,97,8,1,86,8,1,882.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/6,-0.1,8,1,5.4,8,1,-2.6,8,1,0.0,0,8,1,0.0,0,8,1,6.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.8,8,1,10.4,8,êºñkêº,8,1,16.6,8,êº,8,1,êºñkêº,8,1,4.7,8,1,78,8,1,51,8,1,885.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/7,4.1,8,1,8.4,8,1,-1.5,8,1,0,1,8,1,0,1,8,1,7.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.4,8,1,5.2,8,ìÏìÏêº,8,1,8.5,8,êº,8,1,ñkñkìå,8,1,4.4,8,1,54,8,1,16,8,1,888.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/8,7.2,8,1,15.8,8,1,1.9,8,1,0.0,0,8,1,0.0,0,8,1,11.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.7,8,1,5.9,8,êº,8,1,8.0,8,êº,8,1,êºñkêº,8,1,6.8,8,1,69,8,1,29,8,1,887.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/9,9.4,8,1,16.6,8,1,4.2,8,1,0,1,8,1,0,1,8,1,11.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.7,8,1,5.9,8,êº,8,1,8.2,8,êº,8,1,êº,8,1,5.4,8,1,47,8,1,24,8,1,886.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/10,10.3,8,1,18.1,8,1,3.6,8,1,0,1,8,1,0,1,8,1,11.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.9,8,1,6.1,8,êºñkêº,8,1,8.9,8,ñkêº,8,1,êºñkêº,8,1,7.3,8,1,60,8,1,19,8,1,888.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/11,11.5,8,1,17.5,8,1,6.9,8,1,0,1,8,1,0,1,8,1,11.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.6,8,1,6.5,8,êºñkêº,8,1,9.5,8,êºñkêº,8,1,êº,8,1,6.5,8,1,50,8,1,21,8,1,889.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/12,9.8,8,1,13.7,8,1,7.8,8,1,0.5,0,8,1,0.5,0,8,1,0.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.6,8,1,4.7,8,êºìÏêº,8,1,7.4,8,ìÏìÏêº,8,1,ìÏìÏêº,8,1,10.1,8,1,84,8,1,48,8,1,888.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/13,6.6,8,1,8.3,8,1,4.1,8,1,36.0,0,8,1,5.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,8.2,8,1,14.4,8,ìåñkìå,8,1,20.1,8,ñkìå,8,1,ñkìå,8,1,9.4,8,1,96,8,1,88,8,1,883.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/14,7.3,8,1,12.6,8,1,3.6,8,1,0.0,0,8,1,0.0,0,8,1,10.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.1,8,1,13.5,8,ìåñkìå,8,1,16.7,8,ìåñkìå,8,1,ìåñkìå,8,1,5.5,8,1,56,8,1,18,8,1,886.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/15,10.5,8,1,17.1,8,1,4.5,8,1,0,1,8,1,0,1,8,1,11.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.5,8,1,9.3,8,ñkìå,8,1,13.8,8,ñkìå,8,1,ñkñkìå,8,1,5.2,8,1,40,8,1,16,8,1,889.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/16,10.9,8,1,16.4,8,1,7.3,8,1,0,1,8,1,0,1,8,1,3.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.6,8,1,6.1,8,êº,8,1,9.7,8,êº,8,1,êºñkêº,8,1,6.5,8,1,50,8,1,29,8,1,888.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/17,10.9,8,1,16.5,8,1,6.6,8,1,14.0,0,8,1,4.5,0,8,1,6.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.4,8,1,8.0,8,ìÏ,8,1,12.5,8,ìÏìÏêº,8,1,êºìÏêº,8,1,9.3,5,1,71,8,1,38,5,1,886.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/18,11.2,8,1,13.5,8,1,7.1,8,1,20.5,0,8,1,4.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.7,8,1,13.2,8,ìÏìÏêº,8,1,26.6,8,ìÏêº,8,1,êº,8,1,13.4,8,1,100,8,1,99,8,1,883.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/19,9.0,8,1,13.5,8,1,5.7,8,1,0.5,0,8,1,0.5,0,8,1,4.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.5,8,1,8.4,8,ìåñkìå,8,1,11.2,8,ìåñkìå,8,1,ñk,8,1,9.7,8,1,84,8,1,52,8,1,886.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/20,8.7,8,1,9.9,8,1,7.1,8,1,14.0,0,8,1,4.5,0,8,1,0.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.3,8,1,9.5,8,ìÏìå,8,1,16.0,8,ìÏìå,8,1,ìÏìå,8,1,10.9,8,1,97,8,1,89,8,1,885.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/21,11.2,8,1,15.0,8,1,8.6,8,1,3.5,0,8,1,1.5,0,8,1,0.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.1,8,1,8.6,8,ìÏìÏìå,8,1,14.2,8,ìÏ,8,1,ìÏìå,8,1,13.1,8,1,98,8,1,77,8,1,884.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/22,9.3,8,1,12.4,8,1,5.6,8,1,0.0,0,8,1,0.0,0,8,1,0.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.2,8,1,6.8,8,ìåñkìå,8,1,9.7,8,ìåñkìå,8,1,ñk,8,1,7.7,8,1,67,8,1,41,8,1,884.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/23,10.1,8,1,15.6,8,1,5.4,8,1,0,1,8,1,0,1,8,1,12.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.8,8,1,8.0,8,ñk,8,1,13.3,8,ñk,8,1,ñk,8,1,4.5,8,1,38,8,1,22,8,1,888.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/24,10.8,8,1,16.2,8,1,5.8,8,1,0,1,8,1,0,1,8,1,11.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.3,8,1,6.9,8,ìåñkìå,8,1,11.3,8,ìå,8,1,ìåìÏìå,8,1,4.7,8,1,36,8,1,18,8,1,892.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/25,10.5,8,1,17.2,8,1,6.5,8,1,0.0,0,8,1,0.0,0,8,1,6.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.1,8,1,6.3,8,ìÏìÏìå,8,1,11.8,8,ìÏ,8,1,ìåìÏìå,8,1,8.4,8,1,68,8,1,30,8,1,893.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/26,10.7,8,1,16.2,8,1,7.4,8,1,0,1,8,1,0,1,8,1,7.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.8,8,1,8.0,8,ìÏìÏìå,8,1,13.0,8,ìå,8,1,ìÏìå,8,1,9.0,8,1,71,8,1,45,8,1,894.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/27,9.0,8,1,11.8,8,1,7.6,8,1,0.0,0,8,1,0.0,0,8,1,3.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,8.6,8,1,12.5,8,ìÏìÏìå,8,1,20.0,8,ìÏìÏìå,8,1,ìÏìÏìå,8,1,9.3,8,1,82,8,1,59,8,1,891.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/28,9.7,8,1,11.4,8,1,7.7,8,1,12.5,0,8,1,3.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,9.2,8,1,12.5,8,ìÏìÏìå,8,1,19.6,8,ìÏìÏìå,8,1,ìÏìÏìå,8,1,11.8,8,1,98,8,1,92,8,1,884.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/29,9.5,8,1,12.0,8,1,7.1,8,1,3.0,0,8,1,1.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.4,8,1,8.4,8,ìÏêº,8,1,14.2,8,ìÏìå,8,1,ìÏêº,8,1,11.7,8,1,98,8,1,88,8,1,881.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/4/30,7.8,8,1,8.9,8,1,6.0,8,1,7.5,0,8,1,1.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.2,8,1,7.0,8,ìÏêº,8,1,12.5,8,ìÏìÏêº,8,1,ìÏêº,8,1,10.5,8,1,99,8,1,87,8,1,882.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/1,8.4,8,1,11.6,8,1,6.5,8,1,0.5,0,8,1,0.5,0,8,1,0.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.9,8,1,6.2,8,êºìÏêº,8,1,10.8,8,êºìÏêº,8,1,êºìÏêº,8,1,10.9,8,1,98,8,1,89,8,1,885.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/2,11.2,8,1,17.0,8,1,5.4,8,1,0,1,8,1,0,1,8,1,11.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.9,8,1,8.2,8,êº,8,1,12.2,8,êº,8,1,êº,8,1,10.0,8,1,76,8,1,50,8,1,887.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/3,12.2,8,1,17.7,8,1,7.6,8,1,0,1,8,1,0,1,8,1,9.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.6,8,1,8.6,8,ñk,8,1,12.8,8,ìÏìÏêº,8,1,ñk,8,1,6.9,8,1,50,8,1,6,8,1,888.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
